cam 1,assembly,cam 2,cam 3,pick 1,place 1,pick 2,place 2,cam EoL
4.55,1,0,0,0,0,0,0,0
6.55,1,0,0,0,0,0,0,0
0,1,7.4,0,0,0,0,0,0
0,1,0,7.45,0,0,0,0,0
8.55,1,0,0,0,0,0,0,0
10.55,1,0,0,0,0,0,0,0
0,1,0,0,12.1,0,0,0,0
12.6,2,0,0,0,0,0,0,0
0,1,0,0,0,13.2,0,0,0
14.6,2,0,0,0,0,0,0,0
0,2,15.45,0,0,0,0,0,0
0,2,0,15.5,0,0,0,0,0
16.6,2,0,0,0,0,0,0,0
18.6,2,0,0,0,0,0,0,0
0,2,0,0,20.1,0,0,0,0
20.6,3,0,0,0,0,0,0,0
0,2,0,0,0,21.35,0,0,0
0,1,0,0,0,0,21.85,0,0
22.6,3,0,0,0,0,0,0,0
0,3,23.45,0,0,0,0,0,0
0,3,0,23.5,0,0,0,0,0
0,1,0,0,0,0,0,24,0
0,1,0,0,0,0,24,0,0
24.6,3,0,0,0,0,0,0,0
0,1,0,0,0,0,0,26.45,0
0,1,0,0,0,0,26.45,0,0
26.6,3,0,0,0,0,0,0,0
0,3,0,0,28.05,0,0,0,0
28.6,4,0,0,0,0,0,0,0
0,1,0,0,0,0,0,28.9,0
0,1,0,0,0,0,28.9,0,0
0,3,0,0,0,29.3,0,0,0
30.6,4,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,31.35,0
0,2,0,0,0,0,31.35,0,0
0,4,31.45,0,0,0,0,0,0
0,4,0,31.5,0,0,0,0,0
32.6,4,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,33.75
0,2,0,0,0,0,0,33.9,0
0,2,0,0,0,0,33.9,0,0
34.6,4,0,0,0,0,0,0,0
0,4,0,0,36,0,0,0,0
0,2,0,0,0,0,0,36.4,0
0,2,0,0,0,0,36.4,0,0
36.6,5,0,0,0,0,0,0,0
0,4,0,0,0,37.35,0,0,0
38.6,5,0,0,0,0,0,0,0
0,2,0,0,0,0,0,38.95,0
0,2,0,0,0,0,38.95,0,0
0,5,39.45,0,0,0,0,0,0
0,5,0,39.5,0,0,0,0,0
40.6,5,0,0,0,0,0,0,0
0,2,0,0,0,0,0,41.6,0
0,3,0,0,0,0,41.6,0,0
0,3,0,0,0,0,0,0,41.8
42.6,5,0,0,0,0,0,0,0
0,5,0,0,43.95,0,0,0,0
0,3,0,0,0,0,0,44.1,0
0,3,0,0,0,0,44.1,0,0
44.65,6,0,0,0,0,0,0,0
0,5,0,0,0,45.3,0,0,0
46.65,6,0,0,0,0,0,0,0
0,3,0,0,0,0,0,46.75,0
0,3,0,0,0,0,46.75,0,0
0,6,47.5,0,0,0,0,0,0
0,6,0,47.55,0,0,0,0,0
48.65,6,0,0,0,0,0,0,0
0,3,0,0,0,0,0,49.4,0
0,3,0,0,0,0,49.4,0,0
0,4,0,0,0,0,0,0,49.8
50.65,6,0,0,0,0,0,0,0
0,6,0,0,51.95,0,0,0,0
0,3,0,0,0,0,0,51.95,0
0,4,0,0,0,0,51.95,0,0
52.7,7,0,0,0,0,0,0,0
0,6,0,0,0,53.3,0,0,0
0,4,0,0,0,0,0,54.45,0
0,4,0,0,0,0,54.45,0,0
54.7,7,0,0,0,0,0,0,0
0,7,55.55,0,0,0,0,0,0
0,7,0,55.6,0,0,0,0,0
56.7,7,0,0,0,0,0,0,0
0,4,0,0,0,0,0,57.1,0
0,4,0,0,0,0,57.1,0,0
0,5,0,0,0,0,0,0,57.8
58.7,7,0,0,0,0,0,0,0
0,4,0,0,0,0,0,59.6,0
0,4,0,0,0,0,59.6,0,0
0,7,0,0,60,0,0,0,0
60.75,8,0,0,0,0,0,0,0
0,7,0,0,0,61.35,0,0,0
0,4,0,0,0,0,0,62.15,0
0,5,0,0,0,0,62.15,0,0
62.75,8,0,0,0,0,0,0,0
0,8,63.6,0,0,0,0,0,0
0,8,0,63.65,0,0,0,0,0
64.75,8,0,0,0,0,0,0,0
0,5,0,0,0,0,0,64.8,0
0,5,0,0,0,0,64.8,0,0
0,6,0,0,0,0,0,0,65.8
66.75,8,0,0,0,0,0,0,0
0,5,0,0,0,0,0,67.25,0
0,5,0,0,0,0,67.25,0,0
0,8,0,0,68,0,0,0,0
